Rank,Name,Net Worth,Change,Age,Country/Territory,Source,Industry,Net Worth Num
179,Quek Leng Chan,$10.1 B,down arrow,81.0,Malaysia,"Banking, property",Diversified,10.1
179,Wu Yajun,$10.1 B,down arrow,59.0,China,Real estate,Real Estate,10.1
182,Autry Stephens,$10 B,up arrow,85.0,United States,Oil,Energy,10.0
183,Liu Yongxing,$9.9 B,down arrow,74.0,China,Diversified,Service,9.9
184,Vinod Adani,$9.8 B,,74.0,Cyprus,"Infrastructure, commodities",Diversified,9.8
184,Nicolas Puech,$9.8 B,up arrow,80.0,France,Hermes,Fashion & Retail,9.8
184,"Jacques Saadé, Jr.",$9.8 B,,51.0,France,Shipping,Logistics,9.8
184,Rodolphe Saadé,$9.8 B,,53.0,France,Shipping,Logistics,9.8
184,Tanya Saadé Zeenny,$9.8 B,,55.0,France,Shipping,Logistics,9.8
184,Melker Schorling & family,$9.8 B,down arrow,75.0,Sweden,Investments,Finance & Investments,9.8
190,Andrei Guryev & family,$9.7 B,up arrow,63.0,Russia,Fertilizers,Manufacturing,9.7
190,Michael Kim,$9.7 B,up arrow,59.0,United States,Private equity,Finance & Investments,9.7
190,Lei Jun,$9.7 B,down arrow,53.0,China,Smartphones,Technology,9.7
190,Friedhelm Loh,$9.7 B,up arrow,76.0,Germany,Manufacturing,Manufacturing,9.7
190,Sun Piaoyang,$9.7 B,down arrow,64.0,China,Pharmaceuticals,Healthcare,9.7
195,Rick Cohen & family,$9.6 B,new to list,70.0,United States,Warehouse automation,Technology,9.6
195,Jin Baofang,$9.6 B,down arrow,70.0,China,Solar panels,Energy,9.6
195,Luo Liguo & family,$9.6 B,down arrow,67.0,China,Chemicals,Manufacturing,9.6
195,Marijke Mars,$9.6 B,up arrow,58.0,United States,"Candy, pet food",Food & Beverage,9.6
195,Pamela Mars,$9.6 B,up arrow,62.0,United States,"Candy, pet food",Food & Beverage,9.6
195,Valerie Mars,$9.6 B,up arrow,64.0,United States,"Candy, pet food",Food & Beverage,9.6
195,Victoria Mars,$9.6 B,up arrow,66.0,United States,"Candy, pet food",Food & Beverage,9.6
202,Vincent Bolloré & family,$9.5 B,up arrow,71.0,France,Investments,Finance & Investments,9.5
202,Jim Pattison,$9.5 B,down arrow,94.0,Canada,Diversified,Diversified,9.5
204,Ernesto Bertarelli,$9.4 B,up arrow,57.0,Switzerland,"Biotech, investments",Healthcare,9.4
204,Wang Xing,$9.4 B,down arrow,44.0,China,Food delivery,Technology,9.4
206,Brian Chesky,$9.3 B,down arrow,41.0,United States,Airbnb,Technology,9.3
206,James Dyson,$9.3 B,up arrow,75.0,United Kingdom,Vacuums,Manufacturing,9.3
208,Roman Abramovich & family,$9.2 B,up arrow,56.0,Russia,"Steel, investments",Diversified,9.2
208,Antonia Ax:son Johnson & family,$9.2 B,up arrow,79.0,Sweden,Diversified,Diversified,9.2
208,Daniel Kretinsky,$9.2 B,up arrow,47.0,Czech Republic,"Energy, investments",Energy,9.2
208,John Malone,$9.2 B,up arrow,82.0,United States,Cable television,Media & Entertainment,9.2
208,Azim Premji,$9.2 B,down arrow,77.0,India,Software services,Technology,9.2
208,Charles Schwab,$9.2 B,down arrow,85.0,United States,Discount brokerage,Finance & Investments,9.2
208,Eric Smidt,$9.2 B,up arrow,63.0,United States,Hardware stores,Fashion & Retail,9.2
